sys.exec.out.time {s},rkt.dynamics.lonx {degree},rkt.dynamics.latx {degree},rkt.dynamics.alt {m},rkt.dynamics._dvbi {m/s},rkt.dynamics._SBII[0] {1},rkt.dynamics._SBII[1] {1},rkt.dynamics._SBII[2] {1},rkt.dynamics._VBII[0] {1},rkt.dynamics._VBII[1] {1},rkt.dynamics._VBII[2] {1},rkt.dynamics.thtbdx {degree}
                   0,   120.8901527778998,   22.26196750729375,   6.047839165665209,   430.6400405118543,   5140929.287983278,  -2913391.345214851,   2392664.831268752,   212.4405217771268,    374.592786413219,  -0.336995985335331,   90.00000000029237
                 0.1,   120.8901527781382,   22.26196750730568,   6.056960384361446,   430.6402781642529,   5140950.539248123,  -2913353.890021766,   2392664.801012484,   212.7368391310164,   374.4249560170423, -0.1968897280981551,   89.99987047941431
                 0.2,   120.8901527780939,   22.26196750731564,   6.131821075454354,   430.6418262595632,   5140971.843211921,  -2913316.464670831,    2392664.79557268,   213.3424449631411,   374.0820443967225, 0.08809818079265186,   89.99964935359395
                 0.3,   120.8901527786444,   22.26196750731369,   6.282181032001972,   430.6444942425974,   5140993.207736434,  -2913279.073620798,   2392664.818632581,   213.9480404533967,   373.7389158248362,   0.373102787804453,   89.99910458476548
                 0.4,   120.8901527786703,   22.26196750728322,   6.508049670606852,   430.6483449559271,   5141014.632820393,  -2913241.716893004,   2392664.870194055,   214.5536481435344,    373.395629250129,  0.6581325701123273,   89.99861789050482
                 0.5,   120.8901527790365,   22.26196750722365,   6.809435863979161,   430.6535486691076,   5141036.118469072,  -2913204.394494848,   2392664.950260391,   215.1593418176941,   373.0523381266614,  0.9432009877039224,   89.99824710269114
                 0.6,   120.8901527788664,   22.26196750714222,   7.186347927898169,   430.6601170381053,   5141057.664691713,  -2913167.106425028,    2392665.05883547,   215.7651224940892,    372.709054875696,   1.228306171386592,   89.99788191560179
                 0.7,   120.8901527786212,   22.26196750704245,   7.638793623074889,   430.6679879056323,   5141079.271495331,  -2913129.852685443,    2392665.19592258,   216.3709568146256,   372.3657266067532,   1.513440594809598,   89.99747847323272
                 0.8,   120.8901527787181,    22.2619675069244,    8.16678015422076,   430.6771440860124,   5141100.938884423,  -2913092.633281677,   2392665.361524448,   216.9768319932671,   372.0223405249467,   1.798601287115874,   89.99706849697614
                 0.9,   120.8901527782071,   22.26196750678957,   8.770314157009125,   430.6876071794059,   5141122.666863275,  -2913055.448218518,   2392665.555643737,   217.5827529953308,   371.6789184222181,   2.083789189238839,   89.99667603375165
                   1,   120.8901527779903,   22.26196750664226,   9.449401720426977,   430.6993919875537,   5141144.455436639,  -2913018.297498645,   2392665.778283183,   218.1887218781894,   371.3354759829937,   2.369004029975536,   89.99629669443701
